id,breed
16000,basset
16001,eskimo_dog
16002,otterhound
16003,border_collie
16004,saluki
16005,gordon_setter
16006,siberian_husky
16007,keeshond
16008,brittany_spaniel
16009,mexican_hairless
16010,maltese_dog
16011,boston_bull
16012,yorkshire_terrier
16013,kelpie
16014,norwich_terrier
16015,dhole
16016,brabancon_griffon
16017,collie
16018,dhole
16019,bouvier_des_flandres
16020,bloodhound
16021,wire-haired_fox_terrier
16022,rhodesian_ridgeback
16023,bernese_mountain_dog
16024,sussex_spaniel
16025,australian_terrier
16026,chihuahua
16027,malamute
16028,cocker_spaniel
16029,scotch_terrier
16030,leonberg
16031,affenpinscher
16032,greater_swiss_mountain_dog
16033,basenji
16034,dandie_dinmont
16035,english_setter
16036,irish_water_spaniel
16037,irish_wolfhound
16038,bluetick
16039,shih-tzu
16040,english_foxhound
16041,blenheim_spaniel
16042,toy_poodle
16043,english_setter
16044,newfoundland
16045,eskimo_dog
16046,golden_retriever
16047,cairn
16048,weimaraner
16049,newfoundland
16050,weimaraner
16051,greater_swiss_mountain_dog
16052,staffordshire_bullterrier
16053,saluki
16054,italian_greyhound
16055,lakeland_terrier
16056,blenheim_spaniel
16057,silky_terrier
16058,bloodhound
16059,west_highland_white_terrier
16060,tibetan_terrier
16061,irish_setter
16062,airedale
16063,komondor
16064,german_short-haired_pointer
16065,samoyed
16066,great_pyrenees
16067,schipperke
16068,curly-coated_retriever
16069,airedale
16070,samoyed
16071,pug
16072,border_terrier
16073,basset
16074,dandie_dinmont
16075,dandie_dinmont
16076,bedlington_terrier
16077,weimaraner
16078,yorkshire_terrier
16079,shih-tzu
16080,english_springer
16081,blenheim_spaniel
16082,komondor
16083,shetland_sheepdog
16084,miniature_pinscher
16085,bouvier_des_flandres
16086,yorkshire_terrier
16087,border_collie
16088,redbone
16089,newfoundland
16090,keeshond
16091,american_staffordshire_terrier
16092,entlebucher
16093,blenheim_spaniel
16094,chow
16095,japanese_spaniel
16096,cocker_spaniel
16097,border_terrier
16098,bluetick
16099,pug
16100,welsh_springer_spaniel
16101,greater_swiss_mountain_dog
16102,chow
16103,basenji
16104,yorkshire_terrier
16105,bloodhound
16106,labrador_retriever
16107,pug
16108,scottish_deerhound
16109,shetland_sheepdog
16110,wire-haired_fox_terrier
16111,english_springer
16112,mexican_hairless
16113,papillon
16114,norwegian_elkhound
16115,labrador_retriever
16116,shih-tzu
16117,bluetick
16118,affenpinscher
16119,komondor
16120,cardigan
16121,lhasa
16122,rottweiler
16123,bedlington_terrier
16124,tibetan_terrier
16125,borzoi
16126,lhasa
16127,eskimo_dog
16128,english_foxhound
16129,pug
16130,norwegian_elkhound
16131,chihuahua
16132,german_shepherd
16133,bernese_mountain_dog
16134,papillon
16135,toy_poodle
16136,silky_terrier
16137,bluetick
16138,dingo
16139,irish_water_spaniel
16140,scottish_deerhound
16141,affenpinscher
16142,vizsla
16143,norfolk_terrier
16144,pekinese
16145,beagle
16146,samoyed
16147,silky_terrier
16148,newfoundland
16149,english_foxhound
16150,boston_bull
16151,kerry_blue_terrier
16152,collie
16153,norwegian_elkhound
16154,afghan_hound
16155,toy_terrier
16156,wire-haired_fox_terrier
16157,eskimo_dog
16158,blenheim_spaniel
16159,chihuahua
16160,bernese_mountain_dog
16161,norwich_terrier
16162,kuvasz
16163,pekinese
16164,tibetan_mastiff
16165,silky_terrier
16166,malamute
16167,toy_poodle
16168,basenji
16169,pomeranian
16170,japanese_spaniel
16171,bluetick
16172,eskimo_dog
16173,weimaraner
16174,boston_bull
16175,german_shepherd
16176,groenendael
16177,malinois
16178,french_bulldog
16179,bluetick
16180,west_highland_white_terrier
16181,samoyed
16182,miniature_poodle
16183,saluki
16184,walker_hound
16185,walker_hound
16186,miniature_pinscher
16187,english_foxhound
16188,siberian_husky
16189,silky_terrier
16190,norwich_terrier
16191,gordon_setter
16192,kelpie
16193,shetland_sheepdog
16194,appenzeller
16195,basenji
16196,wire-haired_fox_terrier
16197,siberian_husky
16198,lhasa
16199,american_staffordshire_terrier
16200,miniature_poodle
16201,bernese_mountain_dog
16202,dandie_dinmont
16203,pekinese
16204,redbone
16205,pekinese
16206,border_terrier
16207,miniature_schnauzer
16208,collie
16209,gordon_setter
16210,kelpie
16211,basset
16212,mexican_hairless
16213,kelpie
16214,cardigan
16215,saluki
16216,bedlington_terrier
16217,beagle
16218,great_dane
16219,gordon_setter
16220,english_foxhound
16221,greater_swiss_mountain_dog
16222,pekinese
16223,bernese_mountain_dog
16224,french_bulldog
16225,bernese_mountain_dog
16226,american_staffordshire_terrier
16227,bloodhound
16228,clumber
16229,old_english_sheepdog
16230,mexican_hairless
16231,kelpie
16232,greater_swiss_mountain_dog
16233,beagle
16234,toy_poodle
16235,maltese_dog
16236,cocker_spaniel
