id,breed
0,gordon_setter
1,gordon_setter
2,english_springer
3,italian_greyhound
4,german_shepherd
5,sealyham_terrier
6,rhodesian_ridgeback
7,japanese_spaniel
8,tibetan_mastiff
9,lhasa
10,toy_terrier
11,saint_bernard
12,border_collie
13,african_hunting_dog
14,french_bulldog
15,staffordshire_bullterrier
16,weimaraner
17,shih-tzu
18,irish_water_spaniel
19,shih-tzu
20,pug
21,german_shepherd
22,gordon_setter
23,beagle
24,scotch_terrier
25,tibetan_mastiff
26,bouvier_des_flandres
27,irish_terrier
28,lakeland_terrier
29,yorkshire_terrier
30,norwegian_elkhound
31,collie
32,standard_schnauzer
33,dandie_dinmont
34,labrador_retriever
35,brabancon_griffon
36,italian_greyhound
37,airedale
38,rhodesian_ridgeback
39,standard_schnauzer
40,standard_schnauzer
41,english_setter
42,scottish_deerhound
43,newfoundland
44,redbone
45,irish_wolfhound
46,bernese_mountain_dog
47,greater_swiss_mountain_dog
48,kelpie
49,saluki
50,dingo
51,kerry_blue_terrier
52,walker_hound
53,afghan_hound
54,curly-coated_retriever
55,malinois
56,lhasa
57,otterhound
58,african_hunting_dog
59,briard
60,curly-coated_retriever
61,great_pyrenees
62,beagle
63,malinois
64,saint_bernard
65,bull_mastiff
66,great_pyrenees
67,black-and-tan_coonhound
68,irish_terrier
69,french_bulldog
70,kelpie
71,beagle
72,flat-coated_retriever
73,bloodhound
74,basset
75,basenji
76,american_staffordshire_terrier
77,kelpie
78,airedale
79,american_staffordshire_terrier
80,saint_bernard
81,doberman
82,appenzeller
83,bloodhound
84,maltese_dog
85,leonberg
86,soft-coated_wheaten_terrier
87,keeshond
88,collie
89,bluetick
90,malinois
91,tibetan_mastiff
92,italian_greyhound
93,shetland_sheepdog
94,pembroke
95,border_collie
96,lhasa
97,basenji
98,leonberg
99,samoyed
100,entlebucher
101,great_dane
102,entlebucher
103,bloodhound
104,border_terrier
105,norwegian_elkhound
106,scotch_terrier
107,irish_wolfhound
108,irish_wolfhound
109,malamute
110,cairn
111,papillon
112,bedlington_terrier
113,briard
114,chihuahua
115,basenji
116,redbone
117,norfolk_terrier
118,tibetan_terrier
119,kelpie
120,miniature_schnauzer
121,papillon
122,american_staffordshire_terrier
123,great_dane
124,kerry_blue_terrier
125,otterhound
126,cardigan
127,cairn
128,irish_setter
129,labrador_retriever
130,wire-haired_fox_terrier
131,briard
132,greater_swiss_mountain_dog
133,golden_retriever
134,saluki
135,cairn
136,mexican_hairless
137,scotch_terrier
138,siberian_husky
139,curly-coated_retriever
140,norwich_terrier
141,whippet
142,ibizan_hound
143,ibizan_hound
144,west_highland_white_terrier
145,greater_swiss_mountain_dog
146,scottish_deerhound
147,malinois
148,gordon_setter
149,beagle
150,english_setter
151,miniature_schnauzer
152,cairn
153,norfolk_terrier
154,leonberg
155,sussex_spaniel
156,collie
157,chihuahua
158,siberian_husky
159,affenpinscher
160,kelpie
161,saint_bernard
162,bernese_mountain_dog
163,lhasa
164,boston_bull
165,irish_wolfhound
166,komondor
167,great_pyrenees
168,basset
169,shih-tzu
170,greater_swiss_mountain_dog
171,black-and-tan_coonhound
172,pug
173,gordon_setter
174,vizsla
175,miniature_schnauzer
176,golden_retriever
177,eskimo_dog
178,pug
179,irish_water_spaniel
180,irish_terrier
181,shih-tzu
182,blenheim_spaniel
183,great_pyrenees
184,afghan_hound
185,irish_wolfhound
186,curly-coated_retriever
187,standard_poodle
188,toy_terrier
189,afghan_hound
190,cocker_spaniel
191,miniature_pinscher
192,pekinese
193,norfolk_terrier
194,scotch_terrier
195,dingo
196,miniature_pinscher
197,japanese_spaniel
198,shetland_sheepdog
199,cardigan
200,leonberg
201,scottish_deerhound
